NOM;CODI;DATA_INI;DATA_FI;RESIDENCIA;IEPG_CONFIRMAT;R0_CONFIRMAT_M;IA14;TAXA_CASOS_CONFIRMAT;CASOS_CONFIRMAT;TAXA_PCRTAR;PCR;TAR;PERC_PCRTAR_POSITIVES;INGRESSOS_TOTAL;INGRESSOS_CRITIC;EXITUS;CASOS_PCR;CASOS_TAR;POSITIVITAT_PCR_NUM;POSITIVITAT_TAR_NUM;POSITIVITAT_PCR_DEN;POSITIVITAT_TAR_DEN;VACUNATS_DOSI_1;VACUNATS_DOSI_2
CATALUNYA;GLOBAL;2022-07-15;2022-07-21;No;187.601;0.724464;258.9509;96.5973;7517;532.9241;23345;18126;26.9389;1170;115;95;1869;5648;2054;4577;14209;10406;791;2962
CATALUNYA;GLOBAL;2022-07-15;2022-07-21;--;;;0.0000;0.0000;333;0.0000;1945;1078;10.0000;78;5;0;141;192;141;150;1863;1047;30;9
CATALUNYA;GLOBAL;2022-07-15;2022-07-21;Si;;;1444.1909;511.7315;388;8435.6576;4947;1449;19.7034;119;1;35;176;212;181;191;1431;457;4;13
CATALUNYA;GLOBAL;2022-07-14;2022-07-20;--;;;0.0000;0.0000;344;0.0000;1966;1230;9.8637;95;5;0;155;189;155;149;1882;1200;26;9
CATALUNYA;GLOBAL;2022-07-14;2022-07-20;Si;;;1539.1514;526.2394;399;8899.9089;5370;1378;19.0199;118;1;45;188;211;195;197;1626;435;7;12
CATALUNYA;GLOBAL;2022-07-14;2022-07-20;No;200.843;0.720702;278.6764;104.7446;8151;556.1064;23921;19354;27.7685;1251;110;114;2007;6144;2204;4930;14574;11117;809;3046
CATALUNYA;GLOBAL;2022-07-13;2022-07-19;No;217.662;0.718076;303.1181;113.3544;8821;583.6323;24735;20682;28.5630;1323;112;122;2141;6680;2351;5355;15064;11915;788;3215
CATALUNYA;GLOBAL;2022-07-13;2022-07-19;--;;;0.0000;0.0000;386;0.0000;2024;1333;10.5328;104;8;0;181;205;181;159;1934;1294;26;11
CATALUNYA;GLOBAL;2022-07-13;2022-07-19;Si;;;1673.6787;563.1685;427;10192.4269;6157;1571;18.3805;119;1;42;219;208;229;200;1861;473;6;12
CATALUNYA;GLOBAL;2022-07-12;2022-07-18;--;;;0.0000;0.0000;416;0.0000;2068;1493;10.4215;109;8;0;187;229;188;168;1973;1443;32;18
CATALUNYA;GLOBAL;2022-07-12;2022-07-18;Si;;;1833.2651;611.9676;464;10921.7762;6485;1796;18.8202;129;3;45;235;229;248;221;1942;550;5;10
CATALUNYA;GLOBAL;2022-07-12;2022-07-18;No;237.641;0.719925;330.0914;123.6991;9626;616.6453;25818;22168;29.5743;1371;111;121;2317;7309;2569;5852;15679;12795;790;3347
CATALUNYA;GLOBAL;2022-07-11;2022-07-17;--;;;0.0000;0.0000;445;0.0000;2112;1576;10.8911;108;9;0;204;241;208;177;2009;1526;32;17
CATALUNYA;GLOBAL;2022-07-11;2022-07-17;Si;;;2023.1861;726.7115;551;12584.9039;6693;2849;19.4938;136;3;48;282;269;302;268;2098;826;4;8
CATALUNYA;GLOBAL;2022-07-11;2022-07-17;No;264.243;0.721174;366.4070;137.6162;10709;659.2191;26955;24344;30.5689;1460;114;127;2505;8204;2724;6598;16437;14058;785;3355
